n,length,time_dc_s,time_iter_s,time_naive_s
50,2000,0.00012804733332435111,2.4516666665401015e-05,0.019943571999997783
100,2000,0.00031900800000054613,6.504633334240377e-05,0.03639988266666213
200,2000,0.0006120496666521073,0.00012100433334201928,0.07202700366666666
400,2000,0.0012710226666664919,0.0002743103333386898,
800,2000,0.009068544333340848,0.00048326366665681536,
